motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0107.1,49,5098,63.6363636363636,12.745,4.99304540104854,2.29387827651858e-25,RELA,4.12898089773345e-24,4.12898089773345e-24
MA0147.3,39,3881,50.6493506493506,9.7025,5.22023711923222,8.39714479429171e-20,MYC,7.55743031486254e-19,7.55743031486254e-19
MA0785.1,32,2884,41.5584415584416,7.21,5.76400021615001,4.45123439100061e-17,POU2F1,2.67074063460037e-16,2.67074063460037e-16
MA0901.1,35,3907,45.4545454545455,9.7675,4.65365195337041,6.03201684790207e-16,HOXB13,2.71440758155593e-15,2.71440758155593e-15
MA0691.1,34,3902,44.1558441558442,9.755,4.52648325534025,4.43316678656777e-15,TFAP4,1.5959400431644e-14,1.5959400431644e-14
MA0036.3,30,2995,38.961038961039,7.4875,5.20347765756781,9.52406027847488e-15,GATA2,2.85721808354246e-14,2.85721808354246e-14
MA0077.1,25,2033,32.4675324675325,5.0825,6.38810279735021,3.46035893964497e-14,SOX9,8.89806584480136e-14,8.89806584480136e-14
MA0491.1,32,3832,41.5584415584416,9.58,4.33804191633002,1.34802493369906e-13,JUND,3.03305610082288e-13,3.03305610082288e-13
MA0148.3,42,6971,54.5454545454545,17.4275,3.12984963680703,1.86998053816323e-13,FOXA1,3.73996107632647e-13,3.73996107632647e-13
MA0007.3,26,2456,33.7662337662338,6.14,5.49938660687846,2.95230742659428e-13,Ar,5.31415336786971e-13,5.31415336786971e-13
MA0018.3,26,2774,33.7662337662338,6.935,4.86895944718584,4.69393046368517e-12,CREB1,7.68097712239391e-12,7.68097712239391e-12
MA1105.1,29,3612,37.6623376623377,9.03,4.1708015129942,8.06649229561099e-12,GRHL2,1.20997384434165e-11,1.20997384434165e-11
MA0473.2,28,3483,36.3636363636364,8.7075,4.17612820713596,2.07727407601623e-11,ELF1,2.87622564371478e-11,2.87622564371478e-11
MA0481.2,33,5302,42.8571428571429,13.255,3.23328124158,1.55027455416201e-10,FOXP1,1.99321014106544e-10,1.99321014106544e-10
MA0076.2,31,5034,40.2597402597403,12.585,3.199025845033,9.82132946152757e-10,ELK4,1.17855953538331e-09,1.17855953538331e-09
MA0139.1,49,13436,63.6363636363636,33.59,1.89450323418766,6.74211988281922e-08,CTCF,7.58488486817162e-08,7.58488486817162e-08
MA0024.3,8,763,10.3896103896104,1.9075,5.44671580058212,0.000111570376715121,E2F1,0.000118133340051305,0.000118133340051305
MA0761.1,11,1981,14.2857142857143,4.9525,2.88454604456624,0.00140504850042103,ETV1,0.00140504850042103,0.00140504850042103
