motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0107.1,3,4750,60,11.875,5.05263157894737,0.0138982152235821,RELA,0.250167874024477,0.250167874024477
MA0473.2,2,3200,40,8,5,0.0543507013199654,ELF1,0.275987819731182,0.275987819731182
MA0036.3,2,3232,40,8.08,4.95049504950495,0.0553510697612858,GATA2,0.275987819731182,0.275987819731182
MA1105.1,2,3868,40,9.67,4.13650465356774,0.0766911169791969,GRHL2,0.275987819731182,0.275987819731182
MA0491.1,2,3884,40,9.71,4.11946446961895,0.0772620952262423,JUND,0.275987819731182,0.275987819731182
MA0901.1,2,4444,40,11.11,3.6003600360036,0.0982122633778185,HOXB13,0.275987819731182,0.275987819731182
MA0076.2,2,4674,40,11.685,3.42319212665811,0.107328596562126,ELK4,0.275987819731182,0.275987819731182
MA0481.2,2,5458,40,13.645,2.93147673140344,0.140376462498403,FOXP1,0.315847040621408,0.315847040621408
MA0139.1,3,12746,60,31.865,1.88294366860191,0.188600060710107,CTCF,0.373909808809656,0.373909808809656
MA0761.1,1,1820,20,4.55,4.3956043956044,0.20772767156092,ETV1,0.373909808809656,0.373909808809656
MA0148.3,2,7398,40,18.495,2.16274668829413,0.232214300706366,FOXA1,0.379987037519509,0.379987037519509
MA0007.3,1,2354,20,5.885,3.39847068819031,0.261607217046726,Ar,0.392410825570089,0.392410825570089
MA0018.3,1,2660,20,6.65,3.00751879699248,0.291134440774798,CREB1,0.403109225688182,0.403109225688182
MA0077.1,0,2128,0,5.32,0,1,SOX9,1,1
MA0691.1,0,3754,0,9.385,0,1,TFAP4,1,1
MA0785.1,0,3117,0,7.7925,0,1,POU2F1,1,1
MA0024.3,0,715,0,1.7875,0,1,E2F1,1,1
MA0147.3,0,3706,0,9.265,0,1,MYC,1,1
