motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0491.1,32,3852,38.5542168674699,9.63,4.00355315342366,1.82353890776908e-12,JUND,3.28237003398435e-11,3.28237003398435e-11
MA0107.1,31,4731,37.3493975903614,11.8275,3.15784380387753,1.8788944498888e-09,RELA,1.69100500489992e-08,1.69100500489992e-08
MA0785.1,25,3234,30.1204819277108,8.085,3.72547704733591,4.70590699115499e-09,POU2F1,2.823544194693e-08,2.823544194693e-08
MA0147.3,25,3460,30.1204819277108,8.65,3.48213663904172,1.82464374146406e-08,MYC,8.21089683658827e-08,8.21089683658827e-08
MA0481.2,31,5643,37.3493975903614,14.1075,2.64748520931146,1.22742082124769e-07,FOXP1,3.76712926792678e-07,3.76712926792678e-07
MA0148.3,37,7700,44.578313253012,19.25,2.315756532624,1.25570975597559e-07,FOXA1,3.76712926792678e-07,3.76712926792678e-07
MA0036.3,22,3088,26.5060240963855,7.72,3.43342281041263,2.12923124532519e-07,GATA2,5.47516605940762e-07,5.47516605940762e-07
MA0691.1,24,3671,28.9156626506024,9.1775,3.15071235637182,2.50861098737048e-07,TFAP4,5.64437472158359e-07,5.64437472158359e-07
MA1105.1,22,3713,26.5060240963855,9.2825,2.85548333922818,4.66925656225769e-06,GRHL2,9.33851312451538e-06,9.33851312451538e-06
MA0007.3,16,2391,19.2771084337349,5.9775,3.22494494918192,2.85387427900225e-05,Ar,5.02514815899899e-05,5.02514815899899e-05
MA0018.3,17,2682,20.4819277108434,6.705,3.05472449080438,3.07092387494383e-05,CREB1,5.02514815899899e-05,5.02514815899899e-05
MA0139.1,43,12377,51.8072289156626,30.9425,1.67430650127374,5.98113142653075e-05,CTCF,8.97169713979612e-05,8.97169713979612e-05
MA0901.1,21,4370,25.3012048192771,10.925,2.31589975462491,0.000178561645116839,HOXB13,0.000247239200931007,0.000247239200931007
MA0077.1,13,2118,15.6626506024096,5.295,2.95800766806603,0.000407449264214195,SOX9,0.000523863339703965,0.000523863339703965
MA0076.2,17,4519,20.4819277108434,11.2975,1.81296107199322,0.0106251410482629,ELK4,0.0127501692579154,0.0127501692579154
MA0761.1,8,1754,9.63855421686747,4.385,2.19807393771208,0.0290894650966607,ETV1,0.0327256482337433,0.0327256482337433
MA0473.2,12,3194,14.4578313253012,7.985,1.81062383535394,0.0317905269691183,ELF1,0.0336605579673018,0.0336605579673018
MA0024.3,3,684,3.6144578313253,1.71,2.1137180300148,0.169800222652791,E2F1,0.169800222652791,0.169800222652791
