motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0148.3,703,7738,45.3841187863137,19.345,2.34603870696892,2.41748817374875e-125,FOXA1,4.35147871274775e-124,4.35147871274775e-124
MA0107.1,513,4589,33.1181407359587,11.4725,2.88674140213194,1.10922726319281e-118,RELA,9.98304536873531e-118,9.98304536873531e-118
MA0491.1,446,3805,28.7927695287282,9.5125,3.0268351672776,5.66968892927742e-108,JUND,3.40181335756645e-107,3.40181335756645e-107
MA1105.1,451,3905,29.1155584247902,9.7625,2.98238754671346,4.67934221337646e-107,GRHL2,2.10570399601941e-106,2.10570399601941e-106
MA0785.1,403,3193,26.0167850225952,7.9825,3.25922768839276,1.28691705568994e-106,POU2F1,4.63290140048377e-106,4.63290140048377e-106
MA0147.3,411,3392,26.5332472562944,8.48,3.12892066701585,4.40155662635874e-103,MYC,1.32046698790762e-102,1.32046698790762e-102
MA0481.2,540,5600,34.8612007746934,14,2.49008576962095,1.98646373453382e-99,FOXP1,5.10804960308696e-99,5.10804960308696e-99
MA0076.2,461,4333,29.7611362169141,10.8325,2.74739314257227,5.93140440536852e-97,ELK4,1.33456599120792e-96,1.33456599120792e-96
MA0901.1,465,4453,30.0193673337637,11.1325,2.6965521970594,4.69115836206961e-95,HOXB13,9.38231672413921e-95,9.38231672413921e-95
MA0018.3,326,2555,21.0458360232408,6.3875,3.29484712692615,1.44100196403548e-85,CREB1,2.59380353526387e-85,2.59380353526387e-85
MA0691.1,393,3733,25.3712072304713,9.3325,2.71858636276145,2.29741564252605e-79,TFAP4,3.75940741504263e-79,3.75940741504263e-79
MA0036.3,362,3250,23.369916074887,8.125,2.87629736306302,4.50033930332914e-79,GATA2,6.75050895499371e-79,6.75050895499371e-79
MA0077.1,278,2148,17.9470626210458,5.37,3.3420973223549,1.81086949953407e-73,SOX9,2.50735776858564e-73,2.50735776858564e-73
MA0473.2,338,3109,21.8205293737895,7.7725,2.80740165632545,1.32295036516299e-70,ELF1,1.70093618378099e-70,1.70093618378099e-70
MA0007.3,273,2390,17.6242737249839,5.975,2.94966924267512,1.91001826558512e-60,Ar,2.29202191870214e-60,2.29202191870214e-60
MA0139.1,743,12164,47.9664299548096,30.41,1.57732423396283,2.06140053866911e-49,CTCF,2.31907560600275e-49,2.31907560600275e-49
MA0761.1,204,1672,13.1697869593286,4.18,3.15066673668148,4.94007368836401e-49,ETV1,5.23066625826778e-49,5.23066625826778e-49
MA0024.3,79,662,5.10006455777921,1.655,3.08161000470043,9.3070608454603e-19,E2F1,9.3070608454603e-19,9.3070608454603e-19
