Gene,Group
PEG3,Initial clusters
RPL34,Initial clusters
H2AFJ,Initial clusters
SLC22A3,Initial clusters
SNHG8,Initial clusters
MALAT1,Initial clusters
RPS13,Initial clusters
ADGRG6,Initial clusters
LIMCH1,Initial clusters
NCAM2,Initial clusters
PRAC1,Initial clusters
NEAT1,Initial clusters
BTG1,Initial clusters
RPS25,Initial clusters
SAT1,Initial clusters
FOLH1,Initial clusters
RPLP2,Initial clusters
MAOA,Initial clusters
TMEM205,Initial clusters
RPS3,Initial clusters
ZFAS1,Initial clusters
PURA,Initial clusters
PPP3CA,Initial clusters
STEAP2,Initial clusters
NUPR1,Initial clusters
TMED3,Initial clusters
EIF4A2,Initial clusters
BLOC1S6,Initial clusters
GDF15,Initial clusters
TXNRD1,Initial clusters
STEAP1,Initial clusters
SNHG19,Initial clusters
DEGS1,Initial clusters
NFIB,Initial clusters
FTH1,Initial clusters
VTA1,Initial clusters
NUP93,Initial clusters
NEDD4L,Initial clusters
BDP1,Initial clusters
GRB10,Initial clusters
HIST3H2A,Initial clusters
SLC7A11,Initial clusters
SORD,Initial clusters
UTRN,Initial clusters
HES4,Initial clusters
MYO6,Initial clusters
TSC22D3,Initial clusters
MME,Initial clusters
C19orf48,Initial clusters
KLK2,Initial clusters
RPS3A,Initial clusters
RPL7A,Initial clusters
RPS28,Initial clusters
RPS24,Initial clusters
RPL41,Initial clusters
NETO1,Initial clusters
GULP1,Initial clusters
SLC4A4,Initial clusters
RPL23A,Initial clusters
COLCA1,Initial clusters
LUZP2,Initial clusters
RPL4,Initial clusters
RLN1,Initial clusters
NAP1L1,Initial clusters
LRBA,Initial clusters
NUCB2,Initial clusters
CFAP69,Initial clusters
ETV1,Initial clusters
IFITM3,Initial clusters
PLGRKT,Initial clusters
MESP1,Initial clusters
GTF2H2,Initial clusters
SLC30A4,Initial clusters
METRN,Initial clusters
KLK3,Initial clusters
FAM111A,Initial clusters
RASSF3,Initial clusters
NRP1,Initial clusters
RAMP1,Initial clusters
TM7SF2,Initial clusters
HIST1H1C,Initial clusters
PRR34-AS1,Initial clusters
OCLN,Initial clusters
NDUFB4,Initial clusters
DSC2,Initial clusters
GCHFR,Initial clusters
SNRPN,Initial clusters
CCND1,Initial clusters
PPFIA2,Initial clusters
AIDA,Initial clusters
MPC2,Initial clusters
DSEL,Initial clusters
HMOX1,Initial clusters
MT1G,Initial clusters
S100P,Initial clusters
AC069228.1,Initial clusters
CHCHD10,Initial clusters
BLVRB,Initial clusters
SYT4,Initial clusters
REXO2,Initial clusters
RNF187,Initial clusters
NQO1,Initial clusters
RBCK1,Initial clusters
FBXL17,Initial clusters
PKIB,Initial clusters
COX7A2,Initial clusters
SARS,Initial clusters
FXYD3,Initial clusters
PRDX5,Initial clusters
ME1,Initial clusters
AIG1,Initial clusters
EIF1,Initial clusters
CLDN7,Initial clusters
PHGDH,Initial clusters
CPNE3,Initial clusters
GHITM,Initial clusters
LINC01133,Initial clusters
NARS,Initial clusters
MAP1LC3B,Initial clusters
TRIB3,Initial clusters
TMED10,Initial clusters
MMP16,Initial clusters
ZYX,Initial clusters
PLA2G16,Initial clusters
DDIT3,Initial clusters
SCCPDH,Initial clusters
CLGN,Initial clusters
AL139246.5,Initial clusters
COX5A,Initial clusters
TCEA1,Initial clusters
MORF4L1,Initial clusters
PCK2,Initial clusters
MRPS35,Initial clusters
RTN3,Initial clusters
FBXO9,Initial clusters
FAM177A1,Initial clusters
VEGFA,Initial clusters
TPD52L1,Initial clusters
GSTA1,Initial clusters
GNL3,Initial clusters
SQSTM1,Initial clusters
DNPH1,Initial clusters
ARFGAP3,Initial clusters
MPHOSPH6,Initial clusters
HERPUD1,Initial clusters
MB,Initial clusters
ASS1,Initial clusters
BEX2,Initial clusters
CCPG1,Initial clusters
NAALADL2,Initial clusters
RTN4,Initial clusters
GFPT1,Initial clusters
SCHLAP1,Initial clusters
SEPHS2,Initial clusters
SPON2,Initial clusters
GARS,Initial clusters
MAPK6,Initial clusters
PRUNE2,Initial clusters
COMTD1,Initial clusters
ARFGEF3,Initial clusters
TRPM4,Initial clusters
HSPA9,Initial clusters
CIB1,Initial clusters
PLCB4,Initial clusters
ASNS,Initial clusters
ARG2,Initial clusters
EIF4EBP1,Initial clusters
AARS,Initial clusters
PSAT1,Initial clusters
UAP1,Initial clusters
CAMK2N1,Initial clusters
RPL7,ENZ-induced clusters
SESN3,ENZ-induced clusters
EIF1B,ENZ-induced clusters
MARCKSL1,ENZ-induced clusters
IGFBP5,ENZ-induced clusters
VIM,ENZ-induced clusters
SOX4,ENZ-induced clusters
TMSB10,ENZ-induced clusters
RDH10,ENZ-induced clusters
FTL,ENZ-induced clusters
GNAI1,ENZ-induced clusters
ATXN7L3B,ENZ-induced clusters
PITX1,ENZ-induced clusters
UGT2B15,ENZ-induced clusters
TUBA1A,ENZ-induced clusters
IGFBP2,ENZ-induced clusters
SNHG8,ENZ-induced clusters
CITED2,ENZ-induced clusters
PAGE1,ENZ-induced clusters
UGT2B11,ENZ-induced clusters
ASPH,ENZ-induced clusters
SEMA3C,ENZ-induced clusters
ABRACL,ENZ-induced clusters
NR2F1,ENZ-induced clusters
HSPA8,ENZ-induced clusters
CBLN2,ENZ-induced clusters
LGALS1,ENZ-induced clusters
CHPT1,ENZ-induced clusters
GSTA1,ENZ-induced clusters
ST3GAL1,ENZ-induced clusters
DDC,ENZ-induced clusters
ATP2B1,ENZ-induced clusters
CD24,ENZ-induced clusters
MDK,ENZ-induced clusters
LDHB,ENZ-induced clusters
SELENBP1,ENZ-induced clusters
TMSB4X,ENZ-induced clusters
ADD3,ENZ-induced clusters
CKB,ENZ-induced clusters
CAMK2N1,ENZ-induced clusters
LMO4,ENZ-induced clusters
HSPA5,ENZ-induced clusters
SPON2,ENZ-induced clusters
LTN1,ENZ-induced clusters
AIDA,ENZ-induced clusters
CALR,ENZ-induced clusters
MT-CO3,ENZ-induced clusters
MT-ND1,ENZ-induced clusters
MT-CO1,ENZ-induced clusters
SEC61B,ENZ-induced clusters
VAV3,ENZ-induced clusters
HSP90B1,ENZ-induced clusters
PLA2G2A,ENZ-induced clusters
AR,ENZ-induced clusters
SEC11C,ENZ-induced clusters
MID1,ENZ-induced clusters
TOX3,ENZ-induced clusters
WNT5A,ENZ-induced clusters
BROX,ENZ-induced clusters
MRPL41,ENZ-induced clusters
ANKRD29,ENZ-induced clusters
MANF,ENZ-induced clusters
LRRN1,ENZ-induced clusters
CHCHD2,ENZ-induced clusters
ADRA2A,ENZ-induced clusters
NOP10,ENZ-induced clusters
FAM198B,ENZ-induced clusters
CREB3L4,ENZ-induced clusters
MAT2A,ENZ-induced clusters
NIPSNAP3A,ENZ-induced clusters
CRELD2,ENZ-induced clusters
TSPAN8,ENZ-induced clusters
H3F3A,ENZ-induced clusters
PDIA6,ENZ-induced clusters
ANK3,ENZ-induced clusters
PDIA3,ENZ-induced clusters
ARPC5,ENZ-induced clusters
GTF3C6,ENZ-induced clusters
S100A11,ENZ-induced clusters
HSP90AB1,ENZ-induced clusters
PRUNE2,ENZ-induced clusters
PARK7,ENZ-induced clusters
KRT18,ENZ-induced clusters
HMGCS2,ENZ-induced clusters
ATP6V1G1,ENZ-induced clusters
ADGRV1,ENZ-induced clusters
INSIG2,ENZ-induced clusters
MLEC,ENZ-induced clusters
TMEM144,ENZ-induced clusters
MIA3,ENZ-induced clusters
ATP1B1,ENZ-induced clusters
PDIA4,ENZ-induced clusters
HOXA10,ENZ-induced clusters
ATP11A,ENZ-induced clusters
SMIM14,ENZ-induced clusters
LAMA3,ENZ-induced clusters
ZBTB43,ENZ-induced clusters
ITM2B,ENZ-induced clusters
COX7A2,ENZ-induced clusters
LCP1,ENZ-induced clusters
MRPL20,ENZ-induced clusters
LAMTOR5,ENZ-induced clusters
P4HB,ENZ-induced clusters
MRPL57,ENZ-induced clusters
GUK1,ENZ-induced clusters
TMED2,ENZ-induced clusters
MTRNR2L12,ENZ-induced clusters
ARRDC3,ENZ-induced clusters
SYT4,ENZ-induced clusters
ATG3,ENZ-induced clusters
SDF2L1,ENZ-induced clusters
TMEM59,ENZ-induced clusters
CCT8,ENZ-induced clusters
COA3,ENZ-induced clusters
CSTB,ENZ-induced clusters
LYPLAL1,ENZ-induced clusters
FBXO9,ENZ-induced clusters
GSTA4,ENZ-induced clusters
ARL6IP5,ENZ-induced clusters
MYL6,ENZ-induced clusters
ZNF503,ENZ-induced clusters
SCP2,ENZ-induced clusters
RAP2B,ENZ-induced clusters
CALD1,ENZ-induced clusters
DNAJC3,ENZ-induced clusters
SSR1,ENZ-induced clusters
PPIB,ENZ-induced clusters
DNPH1,ENZ-induced clusters
GLO1,ENZ-induced clusters
DBI,ENZ-induced clusters
C1orf122,ENZ-induced clusters
RDH11,ENZ-induced clusters
MINOS1,ENZ-induced clusters
ATP6V0E1,ENZ-induced clusters
MYDGF,ENZ-induced clusters
TIMM17A,ENZ-induced clusters
ARFGEF1,ENZ-induced clusters
AGTRAP,ENZ-induced clusters
ARF4,ENZ-induced clusters
MRPL55,ENZ-induced clusters
TSC22D1,ENZ-induced clusters
LAMP2,ENZ-induced clusters
DDOST,ENZ-induced clusters
AP1S1,ENZ-induced clusters
DENND1B,ENZ-induced clusters
ARHGAP29,ENZ-induced clusters
ENAH,ENZ-induced clusters
BARD1,ENZ-induced clusters
HERPUD1,ENZ-induced clusters
TMEM14A,ENZ-induced clusters
GOLIM4,ENZ-induced clusters
MAP1B,ENZ-induced clusters
EPHX1,ENZ-induced clusters
SQSTM1,ENZ-induced clusters
NQO1,ENZ-induced clusters
ATF4,ENZ-induced clusters
HSPD1,ENZ-induced clusters
PCK2,ENZ-induced clusters
