"TF","Group1","Group2","Pvalue","FDR"
"AR(+)","DMSO","ENZ48",1.63904371657781e-87,2.91385549613833e-87
"AR(+)","DMSO","RESA",2.36978787018079e-133,4.94564425081208e-133
"AR(+)","DMSO","RESB",0,0
"AR(+)","ENZ48","RESA",1.70350590860188e-27,2.15179693718132e-27
"AR(+)","ENZ48","RESB",0,0
"AR(+)","RESA","RESB",1.10091835053733e-251,3.52293872171945e-251
"NKX3-1(+)","DMSO","ENZ48",2.79244476881258e-234,8.37733430643774e-234
"NKX3-1(+)","DMSO","RESA",0,0
"NKX3-1(+)","DMSO","RESB",2.67032809081091e-69,4.57770529853299e-69
"NKX3-1(+)","ENZ48","RESA",3.95276339893124e-252,1.35523316534785e-251
"NKX3-1(+)","ENZ48","RESB",3.13689401258471e-170,7.17004345733648e-170
"NKX3-1(+)","RESA","RESB",0,0
"MYC(+)","DMSO","ENZ48",9.22972763740813e-90,1.70394971767535e-89
"MYC(+)","DMSO","RESA",1.84631537216646e-206,5.21312575670531e-206
"MYC(+)","DMSO","RESB",0,0
"MYC(+)","ENZ48","RESA",1.28831725614437e-53,2.06130760983099e-53
"MYC(+)","ENZ48","RESB",0,0
"MYC(+)","RESA","RESB",0,0
"E2F1(+)","DMSO","ENZ48",0.0336608784242343,0.03590493698585
"E2F1(+)","DMSO","RESA",1.14069278894861e-189,2.88175020365965e-189
"E2F1(+)","DMSO","RESB",7.18466554941204e-112,1.43693310988241e-111
"E2F1(+)","ENZ48","RESA",0,0
"E2F1(+)","ENZ48","RESB",2.45637180037635e-203,6.55032480100359e-203
"E2F1(+)","RESA","RESB",2.04449327449162e-44,3.16566700566444e-44
"JUN(+)","DMSO","ENZ48",1.0574971835532e-08,1.26899662026384e-08
"JUN(+)","DMSO","RESA",2.26254535715096e-137,4.93646259742028e-137
"JUN(+)","DMSO","RESB",2.49140721643306e-178,5.97937731943934e-178
"JUN(+)","ENZ48","RESA",0,0
"JUN(+)","ENZ48","RESB",0,0
"JUN(+)","RESA","RESB",3.20330767883532e-30,4.39310767383129e-30
"FOS(+)","DMSO","ENZ48",5.59295307915843e-06,6.39194637618106e-06
"FOS(+)","DMSO","RESA",3.60728775324047e-07,4.22316615013518e-07
"FOS(+)","DMSO","RESB",0,0
"FOS(+)","ENZ48","RESA",0.450761137124653,0.460351799616666
"FOS(+)","ENZ48","RESB",0,0
"FOS(+)","RESA","RESB",0,0
"FOXO1(+)","DMSO","ENZ48",0.0118111349946068,0.0128848745395711
"FOXO1(+)","DMSO","RESA",6.72690807281291e-54,1.11341926722421e-53
"FOXO1(+)","DMSO","RESB",9.80591006478768e-10,1.2068812387431e-09
"FOXO1(+)","ENZ48","RESA",9.01354992858921e-111,1.73060158628913e-110
"FOXO1(+)","ENZ48","RESB",4.52932240892294e-30,6.03909654523058e-30
"FOXO1(+)","RESA","RESB",2.39621306621931e-28,3.10860073455478e-28
"STAT1(+)","DMSO","ENZ48",1.23737186949483e-35,1.74687793340447e-35
"STAT1(+)","DMSO","RESA",2.40454377320722e-38,3.49751821557414e-38
"STAT1(+)","DMSO","RESB",6.48852169716006e-44,9.73278254574009e-44
"STAT1(+)","ENZ48","RESA",0.54185726051128,0.54185726051128
"STAT1(+)","ENZ48","RESB",0.00906764285868675,0.0101220199352782
"STAT1(+)","RESA","RESB",0.039463369878399,0.0411791685687641
