"TF","Group1","Group2","Pvalue","FDR"
"JUND","DMSO","RESB",0,0
"JUND","ENZ48","RESA",0,0
"JUND","ENZ48","RESB",0,0
"SOX9","ENZ48","RESB",0,0
"GRHL2","DMSO","RESA",0,0
"GRHL2","DMSO","RESB",0,0
"GRHL2","ENZ48","RESA",0,0
"GRHL2","ENZ48","RESB",0,0
"JUND","DMSO","RESA",1.56634173813631e-307,9.39805042881787e-307
"SOX9","ENZ48","RESA",5.92896822665535e-286,3.20164284239389e-285
"RELA","ENZ48","RESA",1.25086432409348e-262,6.14060668191344e-262
"RELA","ENZ48","RESB",4.82029295866346e-254,2.16913183139856e-253
"SOX9","DMSO","RESB",8.48135834501903e-236,3.52302577408483e-235
"RELA","DMSO","RESA",1.01061034294771e-202,3.89806846565544e-202
"RELA","DMSO","RESB",6.0609975021822e-195,2.18195910078559e-194
"SOX9","DMSO","RESA",2.92292830094193e-171,9.864883015679e-171
"ELF1","DMSO","RESA",3.16925833346417e-113,1.00670558827685e-112
"GRHL2","DMSO","ENZ48",2.22579286820588e-78,6.67737860461764e-78
"HOXB13","ENZ48","RESB",3.49117934760955e-49,9.92229919846926e-49
"ELF1","RESA","RESB",3.41161219542944e-42,9.2113529276595e-42
"ELF1","DMSO","ENZ48",6.25942489632502e-42,1.60956640191215e-41
"SOX9","DMSO","ENZ48",4.42518718497204e-32,1.08618230903859e-31
"GRHL2","RESA","RESB",5.5444642853415e-30,1.30174378873235e-29
"ELK4","DMSO","RESA",3.29942296432976e-25,7.42370166974195e-25
"HOXB13","RESA","RESB",1.95087979301223e-23,4.21390035290642e-23
"JUND","DMSO","ENZ48",4.87989906331332e-21,1.01351749776507e-20
"ELF1","DMSO","RESB",1.70233069547326e-18,3.28306634126985e-18
"ELF1","ENZ48","RESA",1.67314363343034e-18,3.28306634126985e-18
"ELK4","RESA","RESB",1.1749251622347e-15,2.18779168140255e-15
"HOXB13","DMSO","RESB",8.51871586095503e-14,1.53336885497191e-13
"HOXB13","DMSO","ENZ48",2.08746728843141e-13,3.63623334113858e-13
"SOX9","RESA","RESB",2.68985326376975e-12,4.53912738261146e-12
"ETV1","DMSO","RESA",4.50422122221365e-12,7.37054381816779e-12
"E2F1","RESA","RESB",6.39214617371892e-12,1.01522321582595e-11
"RELA","DMSO","ENZ48",5.78619360362658e-10,8.92727013130958e-10
"ELK4","DMSO","ENZ48",1.08979055061631e-09,1.63468582592446e-09
"ETV1","ENZ48","RESA",2.08784726543657e-09,3.04712844144797e-09
"E2F1","ENZ48","RESB",1.58349071340331e-08,2.2502236453626e-08
"HOXB13","ENZ48","RESA",1.67391828236921e-08,2.31773300635737e-08
"JUND","RESA","RESB",1.58226733738818e-07,2.13606090547404e-07
"ELF1","ENZ48","RESB",1.9691364403607e-06,2.59349677510922e-06
"E2F1","DMSO","RESA",2.91769336853349e-06,3.75132004525735e-06
"ELK4","ENZ48","RESA",6.3717570982007e-05,8.00174147215902e-05
"ELK4","ENZ48","RESB",8.78809707514827e-05,0.000107853918649547
"ETV1","RESA","RESB",0.000171773494669154,0.000206128193602984
"E2F1","DMSO","ENZ48",0.000397410339908159,0.000466525181631317
"ETV1","DMSO","RESB",0.00288299898724733,0.00331238181513523
"E2F1","DMSO","RESB",0.0225410766941672,0.0253587112809381
"ETV1","ENZ48","RESB",0.0240014484424537,0.0264505758345408
"HOXB13","DMSO","RESA",0.034070283216907,0.0367959058742595
"ELK4","DMSO","RESB",0.0359654925727843,0.038081109782948
"E2F1","ENZ48","RESA",0.37609089604346,0.39055593050667
"ETV1","DMSO","ENZ48",0.558731722008231,0.56927382997065
"RELA","RESA","RESB",0.985836312006231,0.985836312006231
