p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
9.47126948973275e-12	2.61882942285402	0.52	0.113	1.81179702576894e-06	chr8-144498322-144504619	3
4.55268943389675e-09	12.5539970119238	0.265	0	0.000870902172567844	chr16-85637385-85640630	3
8.33784772596339e-08	3.59082335573429	0.296	0.035	0.0159498024289044	chr1-202106870-202109160	3
1.3276879452747e-07	2.37978946109981	0.388	0.096	0.0253978737803378	chr1-235072983-235075989	3
1.94186082296889e-07	12.0861970644499	0.214	0	0.0371466324269011	chr11-3041382-3044477	3
4.04159431835249e-07	12.4160044226349	0.204	0	0.0773132743534921	chr1-240491763-240493935	3
4.04159431835249e-07	12.2797283599193	0.204	0	0.0773132743534921	chr12-2113025-2114606	3
4.58759333852497e-07	3.8177442142573	0.255	0.026	0.0877579080099795	chr5-134505642-134507182	3
4.77334085769296e-07	3.85157660960802	0.255	0.026	0.0913111466031516	chr10-133158836-133164521	3
1.04355548450692e-06	2.19424579279061	0.367	0.104	0.199625902853266	chr1-229886826-229889976	3
1.9923926819197e-06	4.63884112553197	0.204	0.009	0.381132765695146	chr1-228829808-228831584	3
2.13790657951744e-06	2.01741146312193	0.367	0.104	0.40896870122221	chr7-151246830-151250302	3
2.17697126982633e-06	1.96682142592994	0.418	0.165	0.416441542090159	chr1-207807156-207814549	3
4.2121392391794e-06	1.97153697219884	0.347	0.104	0.805756963619584	chr11-72012075-72016172	3
8.45110635225919e-06	1.92349860348302	0.347	0.104	1	chr5-174720854-174726047	3
1.00803102610364e-05	3.4461237572473	0.204	0.017	1	chr10-48522833-48524692	3
1.01166429293092e-05	3.60301115056712	0.214	0.026	1	chr16-11296378-11298437	3
1.10255501909612e-05	1.37521346428304	0.541	0.33	1	chr7-50745691-50794203	3
1.38901273565415e-05	3.18187822723809	0.214	0.026	1	chr4-183987156-183990082	3
1.63782090022727e-05	3.0034596895504	0.224	0.035	1	chr1-240595483-240598738	3
2.0627500284417e-05	1.95480085520226	0.327	0.104	1	chr12-124421632-124423962	3
2.09203116016499e-05	1.93690177702432	0.327	0.104	1	chr7-98616717-98620577	3
2.42960714096543e-05	3.35020062509753	0.204	0.026	1	chr12-119178283-119180101	3
2.95872426212073e-05	2.5839956442778	0.245	0.052	1	chr17-2023554-2026475	3
4.53666686987329e-05	2.20179012722189	0.255	0.061	1	chr20-723479-725089	3
6.43721576760315e-05	1.49646261383203	0.398	0.174	1	chr7-50701544-50726131	3
9.41359702777663e-05	2.62957560094608	0.214	0.043	1	chr1-220390781-220392200	3
0.000101526802750278	1.87136857649753	0.296	0.104	1	chr16-87391282-87393657	3
0.000110634592048025	2.60123660205861	0.214	0.043	1	chr7-150321945-150324942	3
0.000148674258003972	2.89025360950346	0.204	0.043	1	chr8-138788827-138792802	3
0.000188903818272105	2.60394760888929	0.204	0.043	1	chr1-225823415-225827067	3
0.000188903818272105	2.43715490136815	0.204	0.043	1	chr3-133473812-133475788	3
0.000208396038613712	1.77834811029292	0.296	0.104	1	chr2-217896878-217900845	3
0.00026420418840211	1.92950907425032	0.276	0.096	1	chr1-6204861-6207120	3
0.000273900055793988	1.20437481083711	0.449	0.243	1	chr5-1879779-1884439	3
0.000378699000991295	1.68199360734329	0.276	0.096	1	chr8-81841271-81843114	3
0.000427616792107302	1.91063544605527	0.255	0.087	1	chr16-87635242-87636989	3
0.00044976370557231	2.21620757942666	0.204	0.052	1	chr16-75238014-75241427	3
0.000513310709181864	2.19632418339163	0.204	0.052	1	chr20-62602377-62603926	3
0.000536289012180266	2.17779828032811	0.204	0.052	1	chr9-107748829-107751356	3
0.00060066359421664	1.32259678990239	0.337	0.165	1	chr5-93579929-93586241	3
0.000607268927792755	2.04419648148832	0.214	0.061	1	chr1-113253267-113256831	3
0.000686858621680172	1.97524078172759	0.224	0.07	1	chr1-200477233-200478652	3
0.000729276068074238	1.43189733868361	0.306	0.122	1	chr5-77086376-77088514	3
0.000786823962348056	0.993028373993319	0.449	0.296	1	chr1-235864993-235868151	3
0.000839694178218355	1.8487826433785	0.245	0.087	1	chr1-225815777-225818688	3
0.000911506520700124	1.36211731349946	0.316	0.139	1	chr11-6566303-6569338	3
0.00100644717267332	1.65926027635258	0.255	0.096	1	chr14-55101801-55104072	3
0.00101300696924837	1.85205254874303	0.245	0.087	1	chr6-81751940-81754504	3
0.00103053303118669	2.22362593554345	0.204	0.061	1	chr22-37559881-37564768	3
0.00105642954204038	1.62725127813313	0.255	0.096	1	chr4-140236827-140239182	3
0.00105643015912258	1.85837713427365	0.224	0.078	1	chr22-50182255-50184588	3
0.00107856694684547	1.15436098315882	0.357	0.191	1	chr5-179804721-179807893	3
0.00110627225097732	1.77332320940433	0.224	0.07	1	chr12-110246680-110248868	3
0.00114742690470381	1.95398644994091	0.214	0.07	1	chr12-26124581-26127021	3
0.00121113343327849	1.60502759534356	0.265	0.113	1	chr3-46970141-46971508	3
0.00135120627492767	1.94829766169386	0.204	0.061	1	chr10-93465533-93467037	3
0.00138647580339256	0.861587342819224	0.51	0.322	1	chr5-179817925-179834397	3
0.00147369365055719	1.42234597078576	0.316	0.157	1	chr1-234542045-234546269	3
0.00163844001517715	1.59203831215764	0.255	0.104	1	chr16-30584891-30586719	3
0.00173800916734392	0.934698197285278	0.449	0.287	1	chr2-236569209-236586359	3
0.00176033331581509	1.67902653422794	0.235	0.087	1	chr12-28189821-28192145	3
0.00181975157836522	2.10854203560032	0.214	0.078	1	chr21-16336628-16344919	3
0.00197316278683664	1.37207808771241	0.296	0.139	1	chr19-1393746-1396957	3
0.0020956232725161	1.4048224260424	0.255	0.104	1	chr14-105494389-105497101	3
0.00245886598504204	1.34233852094937	0.286	0.139	1	chr4-6673003-6675332	3
0.00248870588693611	1.03626799624091	0.367	0.2	1	chr12-101695649-101704100	3
0.00253946217970078	1.6816785630226	0.214	0.078	1	chr7-4151727-4153129	3
0.00260197422337551	1.7868338202931	0.214	0.078	1	chr7-87627545-87629608	3
0.00281089806451429	1.6928587493345	0.204	0.07	1	chr18-34492553-34494485	3
0.00295531608070615	1.24081795970809	0.296	0.139	1	chr1-226944283-226947333	3
0.00296246730423191	1.28994939559591	0.286	0.139	1	chr21-33324161-33326052	3
0.00313160806668312	0.93474439396702	0.388	0.217	1	chr17-4142078-4144712	3
0.00321650610980923	1.40723860735462	0.255	0.104	1	chr16-15575557-15578260	3
0.00346896208392608	1.04504152386072	0.357	0.191	1	chr1-225809544-225814050	3
0.00353216628534808	1.35771543740727	0.276	0.13	1	chr1-221230022-221231277	3
0.00379970974787415	0.62115893480227	0.663	0.574	1	chr19-12994906-13019374	3
0.00397115037747485	1.73053384019851	0.214	0.087	1	chr3-186974357-186977916	3
0.00398526226420561	1.68893939448588	0.204	0.078	1	chr8-143012901-143014367	3
0.0042123106107234	0.919547437534068	0.418	0.27	1	chr4-2961550-2964673	3
0.00422982919027473	1.57977219621871	0.224	0.096	1	chr19-30663753-30665206	3
0.00431179812393749	1.32994367462902	0.265	0.13	1	chr1-208202561-208204547	3
0.00459783357380022	1.22730303848722	0.296	0.157	1	chr1-225879600-225883670	3
0.00482310838297992	1.54216719072508	0.214	0.087	1	chr8-143983779-143987057	3
0.00483441441361301	1.30216195196687	0.255	0.122	1	chr10-103792688-103795028	3
0.00505472292473157	1.33823120738903	0.245	0.104	1	chr6-111550983-111553636	3
0.00505661897788755	0.814853545420186	0.429	0.27	1	chr12-122499606-122501691	3
