p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
3.89832160301536e-242	1.2931523224365	0.795	0.518	7.4572553272722e-237	chr8-133447002-133520787	1
7.8421733479981e-236	1.27470454100863	0.793	0.529	1.50016070843195e-230	chr8-133522116-133576268	1
1.4950760790622e-143	1.2783430288047	0.636	0.365	2.85999083468125e-138	chr7-50745691-50794203	1
1.15652956066928e-122	1.55109291352985	0.499	0.218	2.21237165778669e-117	chr7-50701544-50726131	1
1.33469639830905e-115	3.57054167283225	0.246	0.024	2.55319412818132e-110	chr1-240595483-240598738	1
1.07023277181393e-103	2.32901322568608	0.304	0.068	2.04729107851373e-98	chr1-235072983-235075989	1
2.81493652692758e-100	6.86967700177099	0.176	0.002	5.38480467982085e-95	chr11-3041382-3044477	1
1.27910632884254e-98	2.99252591349595	0.239	0.034	2.44685366069606e-93	chr2-217896878-217900845	1
7.51551351236047e-92	12.1728449201259	0.158	0	1.43767264183348e-86	chr12-101737598-101748884	1
2.78238721698324e-90	2.21139095748361	0.281	0.068	5.32253980285592e-85	chr8-144498322-144504619	1
7.23807798444035e-88	4.61230341549827	0.171	0.009	1.38460088995553e-82	chr5-179836132-179842954	1
7.42393449434065e-77	3.0954909278276	0.186	0.024	1.4201541251604e-71	chr1-202106870-202109160	1
7.6142608354761e-76	3.75222049757036	0.162	0.013	1.45656241226156e-70	chr16-85637385-85640630	1
5.69728930825094e-65	1.45976456416911	0.332	0.134	1.08985726093255e-59	chr1-207807156-207814549	1
2.52383010189733e-61	2.22945348025703	0.197	0.045	4.82793555512349e-56	chr7-50659354-50668701	1
2.9572834460264e-56	1.51748968232906	0.275	0.104	5.65710579524174e-51	chr8-61689509-61702623	1
5.07647667763491e-55	2.61398709362532	0.155	0.028	9.71099529571493e-50	chr12-6551538-6554913	1
1.04391586481757e-54	2.08187024540453	0.191	0.049	1.99694841444411e-49	chr11-72012075-72016172	1
5.86368491141981e-50	2.07261895440544	0.177	0.045	1.12168774144514e-44	chr7-151246830-151250302	1
2.13051281272161e-49	2.34379327375813	0.157	0.035	4.07554317996768e-44	chr1-54272636-54275868	1
1.64142309342788e-48	1.92273201805909	0.189	0.055	3.13994389234193e-43	chr3-186974357-186977916	1
1.78047491436967e-48	2.38883972850374	0.15	0.032	3.40594168269431e-43	chr10-43025691-43028889	1
1.84090515718138e-48	2.14275137717107	0.164	0.039	3.52154111137855e-43	chr1-184789957-184794743	1
1.14362160375725e-47	1.73034555328225	0.209	0.069	2.18767951069139e-42	chr12-124421632-124423962	1
1.16348841263146e-46	1.63718165986211	0.217	0.076	2.22568352405922e-41	chr5-134505642-134507182	1
1.9493297307001e-45	2.21066026151304	0.153	0.036	3.72895081504545e-40	chr1-225815777-225818688	1
5.34688473966714e-45	2.02333472652628	0.166	0.045	1.02282696938989e-39	chr8-138788827-138792802	1
7.3456483973477e-45	1.44398153697003	0.246	0.101	1.40517846452223e-39	chr1-229886826-229889976	1
2.2544897201716e-44	1.71814250718957	0.201	0.069	4.31270356530507e-39	chr1-225841774-225851818	1
8.03568025749079e-43	1.58082363263435	0.207	0.074	1.53717741917644e-37	chr4-72567368-72570480	1
1.90829338414342e-38	0.730152253549238	0.498	0.361	3.65045074626332e-33	chr22-46040296-46065534	1
2.67977595826001e-37	1.6769089554292	0.181	0.066	5.1262506215939e-32	chr4-183987156-183990082	1
3.06425484427593e-37	1.85263321902807	0.155	0.047	5.86173566180919e-32	chr1-241615147-241616964	1
4.33180606667367e-37	1.5120704991429	0.19	0.071	8.28648509718273e-32	chr4-140236827-140239182	1
8.51039767054857e-37	1.16080929170146	0.265	0.128	1.62798801198992e-31	chr11-134033351-134035782	1
2.98454155697456e-36	0.889110337223559	0.375	0.229	5.70924892599892e-31	chr5-179817925-179834397	1
9.6982979587277e-36	1.62196684491583	0.176	0.064	1.85522620971686e-30	chr1-225823415-225827067	1
1.69867212764298e-35	1.84425185716371	0.152	0.049	3.24945785985337e-30	chr10-133158836-133164521	1
4.32608042405987e-35	1.76597146681062	0.164	0.058	8.27553228640109e-30	chr21-16336628-16344919	1
1.33123715747436e-33	1.74446441096554	0.154	0.052	2.546576808019e-28	chr7-151921843-151926645	1
2.46929330433594e-33	1.37882567372635	0.196	0.081	4.72360993359638e-28	chr10-44910660-44912204	1
6.00515745319205e-33	1.50341035319123	0.175	0.066	1.14875058985092e-27	chr1-205352130-205355635	1
1.18490113437809e-32	1.21652977831668	0.223	0.101	2.26664477599723e-27	chr16-15575557-15578260	1
3.19820732642688e-30	1.23193212638522	0.21	0.098	6.11797872301504e-25	chr8-38733470-38736337	1
8.69327669444817e-30	1.3943423923712	0.175	0.071	1.66297167198777e-24	chr12-101617945-101620958	1
1.96025135041297e-29	1.36181475696505	0.177	0.073	3.74984321825898e-24	chr16-11296378-11298437	1
2.3676734888091e-29	1.26149424786684	0.187	0.081	4.52921732368249e-24	chr12-6312048-6313879	1
3.9572252929917e-29	1.44890491986157	0.161	0.063	7.56993455197554e-24	chr12-119178283-119180101	1
5.33692920139918e-29	1.32821092765074	0.18	0.077	1.02092253465245e-23	chr22-37500866-37503073	1
3.44577251607205e-28	0.986728313035106	0.268	0.148	6.59155607689487e-23	chr12-101695649-101704100	1
2.55983581333454e-27	1.26151211364763	0.183	0.081	4.89681232076018e-22	chr1-226944283-226947333	1
1.374126660024e-26	1.16971122340942	0.192	0.088	2.62862185302631e-21	chr7-75611216-75612593	1
1.54993847301403e-26	1.10820674526832	0.225	0.118	2.96493930256747e-21	chr5-93579929-93586241	1
4.64004637931975e-26	0.587179975571349	0.497	0.389	8.87613032085591e-21	chr19-12994906-13019374	1
2.01098431442003e-25	1.4218393691515	0.15	0.062	3.84689233442665e-20	chr3-15101598-15103610	1
5.8568213971104e-25	1.22893209032461	0.175	0.08	1.12037479233884e-19	chr6-152301264-152302712	1
6.4203145232095e-25	1.07073216343967	0.213	0.111	1.22816764640284e-19	chr7-50597215-50603911	1
9.87655494381271e-25	0.822451416132974	0.309	0.196	1.88932570142171e-19	chr7-50669260-50682556	1
2.57577103519534e-24	1.33065528918538	0.155	0.067	4.92729544406657e-19	chr7-74464700-74468163	1
5.21192206146663e-24	0.915692359573754	0.263	0.157	9.97009418826198e-19	chr1-911121-922402	1
8.76284681742274e-24	0.853193118343617	0.269	0.156	1.67628001909207e-18	chr10-132417989-132422232	1
1.57046676128222e-23	0.955504125156035	0.238	0.134	3.0042086863272e-18	chr16-31450858-31455784	1
1.86305800740045e-23	1.14204365897131	0.183	0.089	3.56391818467662e-18	chr7-98616717-98620577	1
5.67416152327064e-23	1.3151754211172	0.154	0.069	1.08543305443253e-17	chr14-90507992-90511066	1
7.26963382121659e-23	1.25689985389194	0.152	0.066	1.39063733219581e-17	chr10-46546263-46547434	1
9.06388638262842e-23	1.26653339188118	0.152	0.066	1.73386708167852e-17	chr7-150321945-150324942	1
1.43029549589045e-22	1.01188950805165	0.205	0.108	2.73606946590868e-17	chr11-6566303-6569338	1
2.12603175400519e-22	1.22107530252619	0.155	0.069	4.06697118350669e-17	chr1-202056444-202057810	1
2.09630028376266e-21	1.06072847531802	0.192	0.101	4.01009666482095e-16	chr8-144513836-144518897	1
4.2042098382553e-21	1.29965441862379	0.15	0.07	8.04240116799209e-16	chr1-7571949-7575158	1
1.31001901299369e-20	0.654862578858841	0.347	0.239	2.50598777071615e-15	chr16-75249763-75255644	1
6.07288963564422e-20	1.10995282621041	0.166	0.083	1.16170734996093e-14	chr1-68495367-68497909	1
6.21738308607074e-19	1.01860933635597	0.186	0.102	1.18934808006682e-13	chrX-1379368-1389740	1
2.09611838812416e-18	1.04233520020285	0.168	0.088	4.00974870937823e-13	chr6-81751940-81754504	1
4.68667129539491e-18	0.892207634869112	0.196	0.11	8.96532098781273e-13	chr16-67206218-67209682	1
1.00576438432425e-17	0.981871766843815	0.169	0.089	1.92396692134923e-12	chr6-105089777-105091969	1
2.20319254931556e-17	0.629408901456359	0.342	0.252	4.21457515528771e-12	chr2-236569209-236586359	1
3.22727740076908e-17	0.882986303756822	0.194	0.111	6.17358803102721e-12	chr5-469804-481236	1
4.12053131673576e-17	0.99471328515444	0.17	0.093	7.88232917703651e-12	chr17-74767284-74773891	1
4.60461186441471e-17	1.04257910387507	0.152	0.078	8.80834621991347e-12	chr4-20882115-20884480	1
7.46010354110005e-17	0.848741782115505	0.213	0.129	1.42707304679119e-11	chr14-23152753-23155921	1
