p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
1.22191946663424e-10	4.23836966666799	0.632	0.048	2.3374586245033e-05	chr1-207807156-207814549	4
6.75563221354424e-10	5.17502437132503	0.553	0.016	0.000129231190865773	chr1-240595483-240598738	4
4.34731533139522e-08	3.64331316576961	0.526	0.048	0.00831615339003917	chr1-235072983-235075989	4
3.34826720314901e-07	13.1122642568725	0.368	0	0.0640503426359187	chr16-31112447-31115060	4
3.34826720314901e-07	12.8476454391499	0.368	0	0.0640503426359187	chr18-12009398-12013862	4
1.00304189028422e-06	12.9037816107987	0.342	0	0.191875895360029	chr20-43557463-43560053	4
1.23228636972011e-06	3.73212849010198	0.421	0.032	0.235728988809239	chr1-10665610-10670704	4
1.30707095751336e-06	3.44230479816128	0.447	0.048	0.250034831746561	chr8-138788827-138792802	4
1.37558117559875e-06	3.39654829639934	0.447	0.048	0.263140425404986	chr3-186974357-186977916	4
2.95001430971867e-06	12.7456060697562	0.316	0	0.564320037363324	chr6-125959607-125960761	4
2.95001430971867e-06	12.7954781907656	0.316	0	0.564320037363324	chr19-4712975-4714206	4
4.41821375660764e-06	5.07989627247718	0.342	0.016	0.845177782356502	chr1-93962676-93966397	4
4.41821375660764e-06	4.9552859553149	0.342	0.016	0.845177782356502	chr5-91365343-91375321	4
8.52497930310985e-06	12.9554898274109	0.289	0	1	chr1-107597217-107599906	4
8.52497930310985e-06	12.4754028190593	0.289	0	1	chr5-22648098-22650839	4
8.52497930310985e-06	12.884810040331	0.289	0	1	chr6-43495236-43497092	4
8.52497930310985e-06	12.6649285231087	0.289	0	1	chr10-114499304-114500494	4
8.52497930310985e-06	12.7533989776812	0.289	0	1	chr17-81854628-81856741	4
1.19449960709186e-05	3.26503409819749	0.395	0.048	1	chr8-144498322-144504619	4
1.3520194208726e-05	1.01121749559599	0.895	0.5	1	chr1-155123709-155137365	4
1.44979102997137e-05	2.96375766193266	0.395	0.048	1	chr16-15575557-15578260	4
1.46473391032485e-05	3.41335264722928	0.368	0.032	1	chr4-105551678-105553833	4
1.55891123229882e-05	2.60689482184705	0.447	0.081	1	chr1-234542045-234546269	4
1.67534660186567e-05	1.37423200857366	0.737	0.339	1	chr6-73511670-73522485	4
1.94331188211531e-05	4.36074177884059	0.316	0.016	1	chr1-225841774-225851818	4
2.42286539340985e-05	12.4435932134296	0.263	0	1	chr1-160314877-160316232	4
2.42286539340985e-05	12.8801645676548	0.263	0	1	chr6-3385451-3387032	4
2.42286539340985e-05	12.5785884022866	0.263	0	1	chr6-53614623-53616765	4
2.42286539340985e-05	12.3786182776936	0.263	0	1	chr11-3041382-3044477	4
2.42286539340985e-05	12.4639669153665	0.263	0	1	chr16-85637385-85640630	4
2.54751839292741e-05	3.65292398646718	0.316	0.016	1	chr1-5485013-5486766	4
3.79939001541803e-05	2.20089355349674	0.474	0.097	1	chr1-226669828-226673024	4
3.81786375945482e-05	3.05447470711104	0.368	0.048	1	chr8-100486091-100488562	4
3.88248504141946e-05	4.9424378566174	0.289	0.016	1	chr1-223737327-223741426	4
4.16346452168503e-05	3.29694775446087	0.342	0.032	1	chr1-3126477-3128279	4
4.37392939356486e-05	3.15520165493243	0.342	0.032	1	chr6-81751940-81754504	4
4.87729753073256e-05	2.6569705108041	0.395	0.065	1	chr9-105064029-105065870	4
5.05382179694516e-05	2.98035531110929	0.368	0.048	1	chr6-53011570-53014451	4
5.28531355011553e-05	1.19119244308753	0.842	0.387	1	chr1-58779452-58786153	4
5.47812750130082e-05	2.4917832667722	0.421	0.081	1	chr6-56540920-56543487	4
5.66640741335975e-05	4.11629484794772	0.289	0.016	1	chr12-124678977-124680444	4
5.71551872335421e-05	2.44188125994789	0.421	0.081	1	chr17-50949496-50951339	4
5.94294586897957e-05	2.06107317914328	0.474	0.097	1	chr10-132516260-132520947	4
5.9772611163668e-05	4.02227913022365	0.289	0.016	1	chr6-43035109-43036508	4
6.64805223060999e-05	3.83984049741446	0.289	0.016	1	chr12-120181202-120184330	4
6.77950549893823e-05	12.6943319620324	0.237	0	1	chr1-17563827-17565288	4
6.77950549893823e-05	12.7150336189872	0.237	0	1	chr1-20412835-20413896	4
6.77950549893823e-05	12.8984420831553	0.237	0	1	chr1-96220216-96221144	4
6.77950549893823e-05	12.7073252917356	0.237	0	1	chr1-226664125-226665411	4
6.77950549893823e-05	12.4041345095641	0.237	0	1	chr1-248335860-248337353	4
6.77950549893823e-05	12.465275471248	0.237	0	1	chr2-201257318-201258966	4
6.77950549893823e-05	12.104775988009	0.237	0	1	chr3-133943448-133946799	4
6.77950549893823e-05	12.5901838956314	0.237	0	1	chr3-158672016-158673223	4
6.77950549893823e-05	13.0095633713686	0.237	0	1	chr6-53321652-53322789	4
6.77950549893823e-05	12.4279901643917	0.237	0	1	chr8-123235330-123236485	4
6.77950549893823e-05	12.2416933539604	0.237	0	1	chr10-117391178-117393210	4
6.77950549893823e-05	12.8991575526888	0.237	0	1	chr12-114798416-114800034	4
6.77950549893823e-05	12.2637454961085	0.237	0	1	chr14-75458761-75460065	4
6.77950549893823e-05	12.269232797256	0.237	0	1	chr18-35024872-35027019	4
6.77950549893823e-05	12.4981395271174	0.237	0	1	chr19-4448569-4450078	4
6.77950549893823e-05	12.4834784313416	0.237	0	1	chr19-38003103-38005329	4
7.00958355200475e-05	3.73016482423005	0.289	0.016	1	chr20-36480007-36482813	4
8.22275455433986e-05	1.51402481569955	0.658	0.242	1	chr6-85671969-85680735	4
8.65091345045042e-05	3.26427450969173	0.316	0.032	1	chr1-222659643-222668317	4
9.53731222537164e-05	3.19353201062233	0.316	0.032	1	chr1-54272636-54275868	4
9.53731222537164e-05	3.10035760131535	0.316	0.032	1	chr5-6899060-6899931	4
9.53731222537164e-05	3.21774126033019	0.316	0.032	1	chr12-104956776-104959987	4
0.000103053910220808	2.90037553930022	0.342	0.048	1	chr1-184789957-184794743	4
0.000106625322943551	2.67501690939383	0.368	0.065	1	chr13-49247248-49249074	4
0.000106646367962501	1.8595066535571	0.5	0.145	1	chr4-6687731-6690611	4
0.000114022672763424	2.12590297598751	0.447	0.113	1	chr5-140321394-140324835	4
0.000118034837549445	4.23936156053076	0.263	0.016	1	chr1-223871969-223873549	4
0.000120048541869292	1.72096631179665	0.553	0.145	1	chr1-206555236-206560716	4
0.000121432326763582	3.1656952679836	0.316	0.032	1	chr1-148387938-148389422	4
0.000123647570577559	2.8652712791812	0.342	0.048	1	chrX-23887391-23890156	4
0.000123743853993451	2.10741270585168	0.447	0.097	1	chr7-129501084-129503637	4
0.000124496520592106	4.19757727356751	0.263	0.016	1	chr3-24137637-24138860	4
0.000126680567786234	1.76866988934215	0.526	0.145	1	chr9-33157963-33164111	4
0.000130517997606857	2.20596408134624	0.421	0.097	1	chr1-33985426-33987160	4
0.000131290614922662	4.16007324384685	0.263	0.016	1	chr5-102313882-102316385	4
0.000131290614922662	4.23641974443242	0.263	0.016	1	chr8-129751845-129754071	4
0.000133818529352462	1.97958236645987	0.447	0.097	1	chr5-6635006-6637999	4
0.000138433000071125	4.12602153262238	0.263	0.016	1	chr6-17212389-17214238	4
0.000152910948398953	2.30139574771837	0.421	0.097	1	chr6-73652517-73655434	4
0.000153829647368238	3.92972542885525	0.263	0.016	1	chr2-172084324-172086002	4
0.000153829647368238	4.00743002856616	0.263	0.016	1	chr7-98213387-98214637	4
0.00017082782421714	3.80736738967361	0.263	0.016	1	chr13-23728392-23729830	4
0.00017082782421714	3.94403432955168	0.263	0.016	1	chr14-69129012-69130020	4
0.000177693135938563	3.39636756076813	0.289	0.032	1	chr1-210327916-210330279	4
0.000177693135938563	3.32218234050863	0.289	0.032	1	chr6-19302978-19304036	4
0.000179975027084647	3.77112902937596	0.263	0.016	1	chr1-244361696-244362927	4
0.000187007229817594	12.4773253606463	0.211	0	1	chr1-67392944-67394869	4
0.000187007229817594	12.3045709472261	0.211	0	1	chr1-172322052-172323355	4
0.000187007229817594	12.508315610486	0.211	0	1	chr1-175634791-175635867	4
0.000187007229817594	12.3459570381394	0.211	0	1	chr1-221227545-221228973	4
0.000187007229817594	12.289098210882	0.211	0	1	chr2-43158109-43159594	4
0.000187007229817594	12.7858526446613	0.211	0	1	chr2-101741805-101742740	4
0.000187007229817594	12.4486008974526	0.211	0	1	chr3-112136822-112138271	4
0.000187007229817594	12.3650158098075	0.211	0	1	chr4-16691428-16693944	4
0.000187007229817594	12.1493209118828	0.211	0	1	chr5-96246932-96248341	4
0.000187007229817594	12.5519084737862	0.211	0	1	chr5-107831680-107832662	4
0.000187007229817594	12.3347377174479	0.211	0	1	chr5-179606761-179614210	4
0.000187007229817594	12.2256765613999	0.211	0	1	chr6-4357416-4359486	4
0.000187007229817594	12.0578417873324	0.211	0	1	chr6-34601209-34603429	4
0.000187007229817594	12.5720809533886	0.211	0	1	chr7-27513809-27516907	4
0.000187007229817594	12.6709487416355	0.211	0	1	chr7-69549443-69550465	4
0.000187007229817594	12.2034489057413	0.211	0	1	chr8-689486-690602	4
0.000187007229817594	12.2988327118944	0.211	0	1	chr9-1200375-1201759	4
0.000187007229817594	12.0670812309598	0.211	0	1	chr9-15430575-15431802	4
0.000187007229817594	12.1988458711583	0.211	0	1	chr10-110429917-110432028	4
0.000187007229817594	12.7290809834462	0.211	0	1	chr11-117519001-117520573	4
0.000187007229817594	12.155736747245	0.211	0	1	chr12-124966730-124968845	4
0.000187007229817594	11.9901596285614	0.211	0	1	chr13-51519554-51521024	4
0.000187007229817594	12.0848251817094	0.211	0	1	chr16-66364107-66365983	4
0.000187007229817594	12.2252247695529	0.211	0	1	chr18-33802710-33803525	4
0.000187007229817594	12.0519801080035	0.211	0	1	chr20-45467559-45468783	4
0.000187007229817594	12.4556008596185	0.211	0	1	chr21-42811920-42813277	4
0.000187460389690783	1.72671908582252	0.526	0.145	1	chr6-82246292-82248838	4
0.000189581293701376	3.33203804905052	0.263	0.016	1	chr7-34747422-34749052	4
0.000189581293701376	3.57963169847682	0.263	0.016	1	chr7-128911214-128912552	4
0.000206990005610006	2.23809477311978	0.395	0.081	1	chr1-208043331-208044436	4
0.000237035243379667	3.17107472029536	0.289	0.032	1	chr5-153524266-153525537	4
0.000242865740542166	2.19899089188064	0.395	0.081	1	chr9-121736715-121739581	4
0.000248574924726562	3.12683866043276	0.289	0.032	1	chr6-3402372-3404150	4
0.000259815881900192	3.01251442236065	0.316	0.048	1	chr1-32195002-32201411	4
0.000273252395692858	2.99697905269435	0.289	0.032	1	chr6-43515784-43518944	4
0.000283524289599015	2.53804662429227	0.342	0.065	1	chr4-132343986-132345937	4
0.000286435129528432	3.0628102154108	0.289	0.032	1	chr1-67571973-67573799	4
0.000300211911413383	2.96368920315088	0.289	0.032	1	chr1-235078548-235080508	4
0.000306255096647056	2.30039299353998	0.368	0.065	1	chr13-23888292-23890573	4
0.000311700947600167	2.11709291786738	0.395	0.097	1	chr15-45634219-45636129	4
0.000316745416150538	4.6287337092431	0.237	0.016	1	chr12-52906847-52908840	4
0.000329647113367588	2.83567502135533	0.289	0.032	1	chr1-201059584-201061683	4
0.000329647113367588	2.96307784077287	0.289	0.032	1	chr6-71393207-71394627	4
0.000329647113367588	2.97749632983517	0.289	0.032	1	chr16-2081596-2083047	4
0.000333781440520551	4.08357530101332	0.237	0.016	1	chr1-40944219-40945615	4
0.000349362183868499	2.5919458413847	0.342	0.065	1	chr17-59365606-59368597	4
0.000351671891992475	3.99934594694974	0.237	0.016	1	chr6-40163902-40165168	4
0.000360830719693294	1.42451122795157	0.579	0.226	1	chr16-678348-686447	4
0.000361766367330187	2.74446963017095	0.289	0.032	1	chr1-218459252-218461022	4
0.000361766367330187	2.86513098256196	0.289	0.032	1	chr11-34600189-34602932	4
0.000370456128073694	3.99055614668781	0.237	0.016	1	chr7-78709373-78710349	4
0.000370456128073694	3.96368149815316	0.237	0.016	1	chr10-80699400-80700182	4
0.000390175131629983	3.93331890769862	0.237	0.016	1	chr1-22052192-22054020	4
0.000390175131629983	3.82853630352328	0.237	0.016	1	chr8-66521567-66523806	4
0.000390175131629983	3.87598221956033	0.237	0.016	1	chr9-120447554-120448810	4
0.000396793724839023	2.66716955950097	0.289	0.032	1	chr1-87448768-87449988	4
0.000403064064455231	2.61313477814762	0.316	0.048	1	chr1-107571407-107574152	4
0.000405787656623531	1.7955854088775	0.447	0.113	1	chr1-230641924-230643921	4
0.000410871568483309	3.89162153476726	0.237	0.016	1	chr5-16489143-16489953	4
0.000413071959385913	1.97692835651721	0.421	0.097	1	chr1-41432070-41433352	4
0.000453149334513017	1.9622443429982	0.395	0.081	1	chr16-70745480-70749914	4
0.000465807728343136	2.33971764212074	0.342	0.065	1	chr1-26620018-26621840	4
0.00047927863543553	3.59371863293052	0.237	0.016	1	chr6-146904557-146906303	4
0.00047975094250949	1.95355753673633	0.421	0.113	1	chr1-246165741-246167245	4
0.000480231306162838	3.27897209206306	0.263	0.032	1	chr4-52721593-52722977	4
0.000485133115666797	2.31581117155283	0.342	0.065	1	chr1-9835303-9836969	4
0.000499710386097485	2.53665666487843	0.316	0.048	1	chr1-229891128-229893585	4
0.000500890693741041	1.5770200909638	0.5	0.145	1	chr1-229886826-229889976	4
0.000503353920222169	3.33521352615134	0.263	0.032	1	chr6-128490942-128492944	4
0.000504347227992731	3.3905991684843	0.237	0.016	1	chr1-85224646-85225992	4
0.000504347227992731	3.55393583357151	0.237	0.016	1	chr6-41712232-41714063	4
0.000504347227992731	3.31121181375647	0.237	0.016	1	chr6-110949480-110953169	4
0.000504347227992731	3.30165195218295	0.237	0.016	1	chr12-49292453-49294123	4
0.000509342431074394	12.0225372603118	0.184	0	1	chr1-1132190-1133786	4
0.000509342431074394	12.8218438808159	0.184	0	1	chr1-66141461-66142761	4
0.000509342431074394	12.45632269663	0.184	0	1	chr1-85142452-85143288	4
0.000509342431074394	12.3041015237927	0.184	0	1	chr1-93591316-93593418	4
0.000509342431074394	12.0835604572054	0.184	0	1	chr1-175519923-175522013	4
0.000509342431074394	11.9205193216695	0.184	0	1	chr1-177274361-177277083	4
0.000509342431074394	11.987147580369	0.184	0	1	chr1-225719952-225721358	4
0.000509342431074394	12.0944080962557	0.184	0	1	chr2-61707764-61708717	4
0.000509342431074394	12.113326025869	0.184	0	1	chr2-99474766-99476309	4
0.000509342431074394	12.3212069529707	0.184	0	1	chr2-107738200-107741252	4
0.000509342431074394	12.240451856271	0.184	0	1	chr2-159146757-159147806	4
0.000509342431074394	12.2882967435429	0.184	0	1	chr2-187002808-187004137	4
0.000509342431074394	12.3478770058201	0.184	0	1	chr3-4824791-4827054	4
0.000509342431074394	12.5016572973909	0.184	0	1	chr3-60536275-60537065	4
0.000509342431074394	12.4766206341324	0.184	0	1	chr3-178823085-178824235	4
0.000509342431074394	12.5714461288212	0.184	0	1	chr5-32156417-32157257	4
0.000509342431074394	12.2252446544097	0.184	0	1	chr6-20441724-20442953	4
0.000509342431074394	12.1132521768688	0.184	0	1	chr6-108688884-108690232	4
0.000509342431074394	12.3202226231539	0.184	0	1	chr6-144478269-144479205	4
0.000509342431074394	12.3832680804503	0.184	0	1	chr7-16634124-16635018	4
0.000509342431074394	12.1571092227678	0.184	0	1	chr7-26182208-26189391	4
0.000509342431074394	12.4107479687292	0.184	0	1	chr7-68223995-68224808	4
0.000509342431074394	12.5401042893627	0.184	0	1	chr9-90432968-90434050	4
0.000509342431074394	12.4930406117591	0.184	0	1	chr9-128823566-128824839	4
0.000509342431074394	12.5809773927428	0.184	0	1	chr10-5626016-5627081	4
0.000509342431074394	12.0513738195947	0.184	0	1	chr10-114179503-114181117	4
0.000509342431074394	12.141100792959	0.184	0	1	chr11-119683486-119685249	4
0.000509342431074394	12.5453484530628	0.184	0	1	chr13-40336094-40337372	4
0.000509342431074394	12.48568284411	0.184	0	1	chr13-110907841-110909123	4
0.000509342431074394	11.9726520837979	0.184	0	1	chr14-64681701-64683078	4
0.000509342431074394	12.4017391403124	0.184	0	1	chr14-100280600-100283368	4
0.000509342431074394	12.1960564305342	0.184	0	1	chr14-102187057-102188396	4
0.000509342431074394	12.4241103345198	0.184	0	1	chr15-96209055-96209905	4
